"","age","production","language","n","prop_produced"
"200",26,442,"Spanish (European)",588,0.751700680272109
"201",27,351,"Spanish (European)",588,0.596938775510204
"202",28,463,"Spanish (European)",588,0.787414965986395
"203",29,456,"Spanish (European)",588,0.775510204081633
"204",29,377,"Spanish (European)",588,0.641156462585034
"205",29,550,"Spanish (European)",588,0.935374149659864
"206",21,165,"Spanish (European)",588,0.280612244897959
"207",18,10,"Spanish (European)",588,0.0170068027210884
"208",28,331,"Spanish (European)",588,0.562925170068027
"209",16,12,"Spanish (European)",588,0.0204081632653061
"210",17,25,"Spanish (European)",588,0.0425170068027211
"211",17,21,"Spanish (European)",588,0.0357142857142857
"212",18,60,"Spanish (European)",588,0.102040816326531
"213",20,4,"Spanish (European)",588,0.00680272108843537
"214",23,423,"Spanish (European)",588,0.719387755102041
"215",24,124,"Spanish (European)",588,0.210884353741497
"216",24,572,"Spanish (European)",588,0.972789115646258
"217",26,397,"Spanish (European)",588,0.675170068027211
"218",29,183,"Spanish (European)",588,0.311224489795918
"219",27,375,"Spanish (European)",588,0.637755102040816
"220",30,287,"Spanish (European)",588,0.488095238095238
"221",17,25,"Spanish (European)",588,0.0425170068027211
"222",24,46,"Spanish (European)",588,0.0782312925170068
"223",24,351,"Spanish (European)",588,0.596938775510204
"224",16,24,"Spanish (European)",588,0.0408163265306122
"225",16,33,"Spanish (European)",588,0.0561224489795918
"226",16,17,"Spanish (European)",588,0.0289115646258503
"227",18,68,"Spanish (European)",588,0.115646258503401
"228",18,14,"Spanish (European)",588,0.0238095238095238
"229",18,47,"Spanish (European)",588,0.0799319727891157
"230",19,27,"Spanish (European)",588,0.0459183673469388
"231",19,31,"Spanish (European)",588,0.0527210884353742
"232",19,149,"Spanish (European)",588,0.253401360544218
"233",19,196,"Spanish (European)",588,0.333333333333333
"234",20,44,"Spanish (European)",588,0.0748299319727891
"235",22,10,"Spanish (European)",588,0.0170068027210884
"236",24,65,"Spanish (European)",588,0.110544217687075
"237",25,99,"Spanish (European)",588,0.168367346938776
"238",26,35,"Spanish (European)",588,0.0595238095238095
"239",27,192,"Spanish (European)",588,0.326530612244898
"240",30,331,"Spanish (European)",588,0.562925170068027
"241",30,458,"Spanish (European)",588,0.77891156462585
"242",17,73,"Spanish (European)",588,0.124149659863946
"243",18,25,"Spanish (European)",588,0.0425170068027211
"244",25,450,"Spanish (European)",588,0.76530612244898
"245",24,142,"Spanish (European)",588,0.241496598639456
"246",16,64,"Spanish (European)",588,0.108843537414966
"247",16,34,"Spanish (European)",588,0.0578231292517007
"248",16,6,"Spanish (European)",588,0.0102040816326531
"249",16,55,"Spanish (European)",588,0.0935374149659864
"250",16,0,"Spanish (European)",588,0
"251",16,149,"Spanish (European)",588,0.253401360544218
"252",16,0,"Spanish (European)",588,0
"253",16,39,"Spanish (European)",588,0.0663265306122449
"254",16,7,"Spanish (European)",588,0.0119047619047619
"255",16,20,"Spanish (European)",588,0.0340136054421769
"256",16,35,"Spanish (European)",588,0.0595238095238095
"257",17,16,"Spanish (European)",588,0.0272108843537415
"258",17,22,"Spanish (European)",588,0.0374149659863946
"259",17,119,"Spanish (European)",588,0.202380952380952
"260",17,10,"Spanish (European)",588,0.0170068027210884
"261",17,30,"Spanish (European)",588,0.0510204081632653
"262",17,28,"Spanish (European)",588,0.0476190476190476
"263",17,16,"Spanish (European)",588,0.0272108843537415
"264",17,9,"Spanish (European)",588,0.0153061224489796
"265",18,5,"Spanish (European)",588,0.00850340136054422
"266",18,14,"Spanish (European)",588,0.0238095238095238
"267",18,135,"Spanish (European)",588,0.229591836734694
"268",18,62,"Spanish (European)",588,0.105442176870748
"269",18,8,"Spanish (European)",588,0.0136054421768707
"270",18,19,"Spanish (European)",588,0.032312925170068
"271",18,24,"Spanish (European)",588,0.0408163265306122
"272",18,10,"Spanish (European)",588,0.0170068027210884
"273",18,73,"Spanish (European)",588,0.124149659863946
"274",18,332,"Spanish (European)",588,0.564625850340136
"275",18,90,"Spanish (European)",588,0.153061224489796
"276",19,55,"Spanish (European)",588,0.0935374149659864
"277",19,7,"Spanish (European)",588,0.0119047619047619
"278",19,52,"Spanish (European)",588,0.0884353741496599
"279",19,113,"Spanish (European)",588,0.192176870748299
"280",19,137,"Spanish (European)",588,0.232993197278912
"281",19,91,"Spanish (European)",588,0.154761904761905
"282",19,251,"Spanish (European)",588,0.42687074829932
"283",20,2,"Spanish (European)",588,0.00340136054421769
"284",20,155,"Spanish (European)",588,0.263605442176871
"285",20,77,"Spanish (European)",588,0.130952380952381
"286",20,358,"Spanish (European)",588,0.608843537414966
"287",20,142,"Spanish (European)",588,0.241496598639456
"288",20,30,"Spanish (European)",588,0.0510204081632653
"289",20,67,"Spanish (European)",588,0.113945578231293
"290",21,157,"Spanish (European)",588,0.267006802721088
"291",21,17,"Spanish (European)",588,0.0289115646258503
"292",21,61,"Spanish (European)",588,0.103741496598639
"293",21,17,"Spanish (European)",588,0.0289115646258503
