"","language","category","uni_lemma","item_definition","lexical_category"
"1829","Spanish (European)","outside_places","street","calle","other"
"1830","Spanish (Mexican)","places","street","calle","other"
"1831","Spanish (Peruvian)","outside","street","calle","nouns"
"1832","Spanish (Argentinian)","places","street","calle","other"
"1833","Spanish (Mexican)","vehicles","stroller","carreola","nouns"
"1834","Spanish (Peruvian)","vehicles","stroller","coche(cito)","nouns"
"1835","Spanish (Argentinian)","vehicles","stroller","cochecito de bebé","nouns"
"1836","Spanish (Mexican)","descriptive_words","strong","fuerte","predicates"
"1837","Spanish (Argentinian)","descriptive_words","strong","fuerte","predicates"
"1838","Spanish (European)","food_drink","sugar","azúcar","nouns"
"1839","Spanish (Mexican)","food_drink","sugar","azúcar","nouns"
"1840","Spanish (Peruvian)","food_drink","sugar","azúcar","nouns"
"1841","Spanish (Argentinian)","food_drink","sugar","azucar","nouns"
"1842","Spanish (European)","outside_places","sun","sol","other"
"1843","Spanish (Mexican)","outside","sun","sol","nouns"
"1844","Spanish (Peruvian)","outside","sun","sol","nouns"
"1845","Spanish (Argentinian)","outside","sun","sol","nouns"
"1846","Spanish (European)","clothing","sweater","jersey","nouns"
"1847","Spanish (Mexican)","clothing","sweater","suéter","nouns"
"1848","Spanish (Peruvian)","clothing","sweater","chompa","nouns"
"1849","Spanish (Peruvian)","clothing","sweater","sweatshirt/polar","nouns"
"1850","Spanish (Argentinian)","clothing","sweater","pullover","nouns"
"1851","Spanish (Mexican)","action_words","sweep","barrer","predicates"
"1852","Spanish (Argentinian)","action_words","sweep","barrer","predicates"
"1853","Spanish (Mexican)","action_words","swim","nadar","predicates"
"1854","Spanish (Argentinian)","action_words","swim","nadar","predicates"
"1855","Spanish (European)","clothing","swimsuit","bañador","nouns"
"1856","Spanish (Peruvian)","clothing","swimsuit","ropa de baño","nouns"
"1857","Spanish (Argentinian)","clothing","swimsuit","malla","nouns"
"1858","Spanish (European)","outside_places","swing (object)","columpio","other"
"1859","Spanish (Mexican)","outside","swing (object)","columpio","nouns"
"1860","Spanish (Peruvian)","outside","swing (object)","columpio","nouns"
"1861","Spanish (Argentinian)","outside","swing (object)","hamaca","nouns"
"1862","Spanish (European)","household","syrup","jarabe","nouns"
"1863","Spanish (Peruvian)","household","syrup","jarabe","nouns"
"1864","Spanish (Mexican)","clothing","t-shirt","playera","nouns"
"1865","Spanish (Peruvian)","clothing","t-shirt","camiseta/bibidí/body/polo","nouns"
"1866","Spanish (Argentinian)","clothing","t-shirt","remera","nouns"
"1867","Spanish (European)","household","table","mesa","nouns"
"1868","Spanish (Mexican)","furniture_rooms","table","mesa","nouns"
"1869","Spanish (Peruvian)","household","table","mesa","nouns"
"1870","Spanish (Argentinian)","furniture_rooms","table","mesa","nouns"
"1871","Spanish (European)","action_words","take","coger","predicates"
"1872","Spanish (European)","action_words","take","sacar","predicates"
"1873","Spanish (European)","action_words","take","tomar(se)","predicates"
"1874","Spanish (Mexican)","action_words","take","llevar(se)","predicates"
"1875","Spanish (Mexican)","action_words","take","sacar","predicates"
"1876","Spanish (Mexican)","action_words","take","tomar(se)","predicates"
"1877","Spanish (Argentinian)","action_words","take","llevar_se","predicates"
"1878","Spanish (Argentinian)","action_words","take","sacar","predicates"
"1879","Spanish (Argentinian)","action_words","take","tomar_se","predicates"
"1880","Spanish (Mexican)","action_words","talk","platicar","predicates"
"1881","Spanish (Argentinian)","action_words","talk","hablar","predicates"
"1882","Spanish (European)","descriptive_words","tall","alto","predicates"
"1883","Spanish (Mexican)","descriptive_words","tall","alto","predicates"
"1884","Spanish (Argentinian)","descriptive_words","tall","alto","predicates"
"1885","Spanish (Peruvian)","vehicles","taxi","taxi","nouns"
"1886","Spanish (Argentinian)","vehicles","taxi","taxi","nouns"
"1887","Spanish (Mexican)","food_drink","tea","té (food)","nouns"
"1888","Spanish (Argentinian)","food_drink","tea","té","nouns"
"1889","Spanish (Mexican)","people","teacher","maestra","other"
"1890","Spanish (Argentinian)","people","teacher","maestra_seño","other"
"1891","Spanish (European)","toys","teddybear","osito","nouns"
"1892","Spanish (Mexican)","toys","teddybear","osito","nouns"
"1893","Spanish (Peruvian)","toys","teddybear","osito","nouns"
"1894","Spanish (Argentinian)","toys","teddybear","osito","nouns"
"1895","Spanish (European)","household","telephone","teléfono","nouns"
"1896","Spanish (Mexican)","household","telephone","teléfono","nouns"
"1897","Spanish (Peruvian)","household","telephone","celular","nouns"
"1898","Spanish (Peruvian)","household","telephone","teléfono","nouns"
"1899","Spanish (Argentinian)","household","telephone","telefono","nouns"
"1900","Spanish (European)","action_words","tell","decir","predicates"
"1901","Spanish (European)","action_words","tell","contar","predicates"
"1902","Spanish (Peruvian)","action_words","tell","contar","predicates"
"1903","Spanish (Peruvian)","action_words","tell","decir","predicates"
"1904","Spanish (European)","games_routines","thank you","gracias","other"
"1905","Spanish (Mexican)","games_routines","thank you","gracias","other"
"1906","Spanish (Peruvian)","games_routines","thank you","gracias","other"
"1907","Spanish (Argentinian)","games_routines","thank you","gracias","other"
"1908","Spanish (European)","pronouns","that","aquel","function_words"
"1909","Spanish (European)","pronouns","that","ese","function_words"
"1910","Spanish (European)","pronouns","that","eso","function_words"
"1911","Spanish (European)","connecting_words","that","que (que no vengas)","function_words"
"1912","Spanish (Mexican)","pronouns","that","aquel","function_words"
"1913","Spanish (Mexican)","pronouns","that","aquella","function_words"
"1914","Spanish (Mexican)","pronouns","that","esa","function_words"
"1915","Spanish (Mexican)","pronouns","that","ese","function_words"
"1916","Spanish (Mexican)","pronouns","that","eso","function_words"
"1917","Spanish (Mexican)","connecting_words","that","que (connection word)","function_words"
"1918","Spanish (Peruvian)","pronouns","that","ese/esa/eso","function_words"
"1919","Spanish (Argentinian)","pronouns","that","aquel","function_words"
"1920","Spanish (Argentinian)","pronouns","that","aquella","function_words"
"1921","Spanish (Argentinian)","pronouns","that","esa","function_words"
"1922","Spanish (Argentinian)","pronouns","that","ese","function_words"
"1923","Spanish (Argentinian)","pronouns","that","eso","function_words"
"1924","Spanish (Argentinian)","connecting_words","that","que","function_words"
"1925","Spanish (European)","articles","the","el","function_words"
"1926","Spanish (European)","articles","the","la","function_words"
"1927","Spanish (European)","articles","the","las","function_words"
"1928","Spanish (European)","articles","the","los","function_words"
"1929","Spanish (Mexican)","prepositions","the","el (propositions)","function_words"
"1930","Spanish (Mexican)","prepositions","the","la","function_words"
"1931","Spanish (Mexican)","prepositions","the","las","function_words"
"1932","Spanish (Mexican)","prepositions","the","los","function_words"
"1933","Spanish (Peruvian)","quantifiers","the","el (carro…)","function_words"
"1934","Spanish (Peruvian)","quantifiers","the","la (pelota…)","function_words"
"1935","Spanish (Peruvian)","quantifiers","the","las (muñecas…)","function_words"
"1936","Spanish (Peruvian)","quantifiers","the","los (juguetes…)","function_words"
"1937","Spanish (Argentinian)","quantifiers","the","el","function_words"
"1938","Spanish (European)","connecting_words","then","entonces","function_words"
"1939","Spanish (Mexican)","connecting_words","then","entonces","function_words"
"1940","Spanish (Argentinian)","connecting_words","then","entonces","function_words"
"1941","Spanish (European)","locations","there","ahí","function_words"
"1942","Spanish (European)","locations","there","allí","function_words"
"1943","Spanish (Mexican)","locations","there","ahí","function_words"
"1944","Spanish (Mexican)","locations","there","allá","function_words"
"1945","Spanish (Mexican)","locations","there","allí","function_words"
"1946","Spanish (Peruvian)","locations","there","ahí","function_words"
"1947","Spanish (Peruvian)","locations","there","allá","function_words"
"1948","Spanish (Argentinian)","locations","there","ahí","function_words"
"1949","Spanish (Argentinian)","locations","there","allá","function_words"
"1950","Spanish (European)","pronouns","these","éstos/éstas","function_words"
"1951","Spanish (Mexican)","pronouns","these","éstas","function_words"
"1952","Spanish (Mexican)","pronouns","these","éstos","function_words"
"1953","Spanish (Peruvian)","pronouns","these","estos(as)","function_words"
"1954","Spanish (Argentinian)","pronouns","these","estas","function_words"
"1955","Spanish (Argentinian)","pronouns","these","estos","function_words"
"1956","Spanish (Mexican)","action_words","think","pensar","predicates"
"1957","Spanish (Argentinian)","action_words","think","pensar","predicates"
"1958","Spanish (European)","pronouns","this","esa","function_words"
"1959","Spanish (European)","pronouns","this","ésta","function_words"
"1960","Spanish (European)","pronouns","this","éste","function_words"
"1961","Spanish (European)","pronouns","this","ésto","function_words"
"1962","Spanish (Mexican)","pronouns","this","ésta","function_words"
"1963","Spanish (Mexican)","pronouns","this","éste","function_words"
"1964","Spanish (Mexican)","pronouns","this","esto","function_words"
"1965","Spanish (Peruvian)","pronouns","this","este/esta/esto","function_words"
"1966","Spanish (Argentinian)","pronouns","this","esta","function_words"
"1967","Spanish (Argentinian)","pronouns","this","este","function_words"
"1968","Spanish (Argentinian)","pronouns","this","esto","function_words"
"1969","Spanish (European)","pronouns","those","aquella/as/os","function_words"
"1970","Spanish (European)","pronouns","those","esos/as","function_words"
"1971","Spanish (Mexican)","pronouns","those","aquellas","function_words"
"1972","Spanish (Mexican)","pronouns","those","aquellos","function_words"
"1973","Spanish (Mexican)","pronouns","those","esas","function_words"
"1974","Spanish (Mexican)","pronouns","those","esos","function_words"
"1975","Spanish (Peruvian)","pronouns","those","esos(as)","function_words"
"1976","Spanish (Argentinian)","pronouns","those","aquellos","function_words"
"1977","Spanish (Argentinian)","pronouns","those","aquellas","function_words"
"1978","Spanish (Argentinian)","pronouns","those","esas","function_words"
"1979","Spanish (Argentinian)","pronouns","those","esos","function_words"
"1980","Spanish (European)","articles","three","tres","function_words"
"1981","Spanish (Peruvian)","quantifiers","three","tres","function_words"
"1982","Spanish (Mexican)","action_words","throw","tirar","predicates"
"1983","Spanish (Mexican)","action_words","throw","aventar","predicates"
"1984","Spanish (Peruvian)","action_words","throw","botar/tirar","predicates"
"1985","Spanish (Argentinian)","action_words","throw","tirar","predicates"
"1986","Spanish (Mexican)","games_routines","tickle","cosquillitas","other"
"1987","Spanish (Argentinian)","games_routines","tickle","cosquillita","other"
"1988","Spanish (Mexican)","action_words","tie (action)","amarrar(se)","predicates"
"1989","Spanish (Argentinian)","action_words","tie (action)","atar","predicates"
"1990","Spanish (European)","animals","tiger","tigre","nouns"
"1991","Spanish (Mexican)","animals","tiger","tigre","nouns"
"1992","Spanish (Peruvian)","animals","tiger","tigre","nouns"
"1993","Spanish (Argentinian)","animals","tiger","tigre","nouns"
"1994","Spanish (Mexican)","clothing","tights","medias","nouns"
"1995","Spanish (Peruvian)","clothing","tights","media(s)","nouns"
"1996","Spanish (Argentinian)","clothing","tights","medias","nouns"
"1997","Spanish (European)","action_words","tire (action)","cansar(se)","predicates"
"1998","Spanish (Peruvian)","action_words","tire (action)","cansar(se)","predicates"
"1999","Spanish (Mexican)","descriptive_words","tired","cansado","predicates"
"2000","Spanish (Argentinian)","descriptive_words","tired","cansado","predicates"
"2001","Spanish (Mexican)","household","tissue","pañuelo","nouns"
"2002","Spanish (Argentinian)","household","tissue","pañuelo","nouns"
"2003","Spanish (European)","locations","to","a (a dormir)","function_words"
"2004","Spanish (European)","locations","to","al","function_words"
"2005","Spanish (Mexican)","prepositions","to","a","function_words"
"2006","Spanish (Peruvian)","locations","to","a (a dormir/a la calle)","function_words"
"2007","Spanish (Peruvian)","locations","to","al (parque)","function_words"
"2008","Spanish (Argentinian)","quantifiers","to","a_al","function_words"
"2009","Spanish (Mexican)","time_words","today","hoy","other"
"2010","Spanish (Argentinian)","time_words","today","hoy","other"
"2011","Spanish (European)","food_drink","tomato","tomate","nouns"
"2012","Spanish (Peruvian)","food_drink","tomato","tomate","nouns"
"2013","Spanish (Argentinian)","food_drink","tomato","tomate","nouns"
"2014","Spanish (European)","time_words","tomorrow","mañana","other"
"2015","Spanish (Mexican)","time_words","tomorrow","mañana","other"
"2016","Spanish (Argentinian)","time_words","tomorrow","mañana","other"
"2017","Spanish (European)","body_parts","tongue","lengua","nouns"
"2018","Spanish (Mexican)","body_parts","tongue","lengua","nouns"
"2019","Spanish (Peruvian)","body_parts","tongue","lengua","nouns"
"2020","Spanish (Argentinian)","body_parts","tongue","lengua","nouns"
"2021","Spanish (European)","body_parts","tooth","dientes","nouns"
"2022","Spanish (Mexican)","body_parts","tooth","dientes","nouns"
"2023","Spanish (Peruvian)","body_parts","tooth","diente(s)","nouns"
"2024","Spanish (Argentinian)","body_parts","tooth","dientes","nouns"
"2025","Spanish (Mexican)","household","toothbrush","cepillo de dientes","nouns"
"2026","Spanish (Peruvian)","household","toothbrush","cepillo/escobilla (de dientes)","nouns"
"2027","Spanish (Argentinian)","household","toothbrush","cepillo_de_dientes","nouns"
"2028","Spanish (Mexican)","household","toothpaste","pasta de dientes","nouns"
"2029","Spanish (Argentinian)","household","toothpaste","pasta_de_dientes","nouns"
"2030","Spanish (Mexican)","food_drink","tortilla","tortilla","nouns"
"2031","Spanish (Peruvian)","food_drink","tortilla","tortilla","nouns"
"2032","Spanish (Argentinian)","food_drink","tortilla","tortilla","nouns"
"2033","Spanish (European)","action_words","touch","tocar","predicates"
"2034","Spanish (Mexican)","action_words","touch","tocar","predicates"
"2035","Spanish (Argentinian)","action_words","touch","tocar","predicates"
"2036","Spanish (European)","household","towel","toalla","nouns"
"2037","Spanish (European)","household","towel","toallitas","nouns"
"2038","Spanish (Mexican)","household","towel","toalla","nouns"
"2039","Spanish (Peruvian)","household","towel","toalla","nouns"
"2040","Spanish (Argentinian)","household","towel","toalla","nouns"
"2041","Spanish (European)","toys","toy (object)","juguete","nouns"
"2042","Spanish (Mexican)","toys","toy (object)","juguete","nouns"
"2043","Spanish (Peruvian)","toys","toy (object)","juguete","nouns"
"2044","Spanish (Argentinian)","toys","toy (object)","Juguete_chiche","nouns"
"2045","Spanish (European)","vehicles","tractor","tractor","nouns"
"2046","Spanish (Mexican)","vehicles","tractor","tractor","nouns"
"2047","Spanish (Peruvian)","vehicles","tractor","tractor","nouns"
"2048","Spanish (Argentinian)","vehicles","tractor","tractor","nouns"
"2049","Spanish (European)","vehicles","train","tren","nouns"
"2050","Spanish (Mexican)","vehicles","train","tren","nouns"
"2051","Spanish (Peruvian)","vehicles","train","tren","nouns"
"2052","Spanish (Argentinian)","vehicles","train","tren","nouns"
"2053","Spanish (European)","household","trash","basura","nouns"
"2054","Spanish (Mexican)","household","trash","basura","nouns"
"2055","Spanish (Peruvian)","household","trash","basura","nouns"
"2056","Spanish (Argentinian)","household","trash","basura","nouns"
"2057","Spanish (Argentinian)","household","trash","tacho_de_basura","nouns"
"2058","Spanish (European)","outside_places","tree","árbol","other"
"2059","Spanish (Mexican)","outside","tree","árbol","nouns"
"2060","Spanish (Peruvian)","outside","tree","árbol","nouns"
"2061","Spanish (Argentinian)","outside","tree","árbol","nouns"
"2062","Spanish (European)","vehicles","tricycle","triciclo","nouns"
"2063","Spanish (Mexican)","vehicles","tricycle","triciclo (vehicles)","nouns"
"2064","Spanish (Mexican)","toys","tricycle","triciclo (toys)","nouns"
"2065","Spanish (Peruvian)","vehicles","tricycle","triciclo","nouns"
"2066","Spanish (Argentinian)","vehicles","tricycle","triciclo","nouns"
"2067","Spanish (European)","vehicles","truck","camión","nouns"
"2068","Spanish (Mexican)","vehicles","truck","camión/troca","nouns"
"2069","Spanish (Peruvian)","vehicles","truck","camión","nouns"
"2070","Spanish (Argentinian)","vehicles","truck","camión","nouns"
"2071","Spanish (European)","body_parts","tummy","barriga","nouns"
"2072","Spanish (Mexican)","body_parts","tummy","panza","nouns"
"2073","Spanish (Peruvian)","body_parts","tummy","barriga/panza","nouns"
"2074","Spanish (Argentinian)","body_parts","tummy","panza","nouns"
"2075","Spanish (Mexican)","food_drink","tuna","atún","nouns"
"2076","Spanish (Argentinian)","food_drink","tuna","atún","nouns"
"2077","Spanish (Mexican)","animals","turkey","guajolote","nouns"
"2078","Spanish (Argentinian)","animals","turkey","pavo","nouns"
"2079","Spanish (European)","action_words","turn off","apagar","predicates"
"2080","Spanish (Mexican)","action_words","turn off","apagar","predicates"
"2081","Spanish (Peruvian)","action_words","turn off","apagar","predicates"
"2082","Spanish (Argentinian)","action_words","turn off","apagar","predicates"
"2083","Spanish (Mexican)","action_words","turn on","prender","predicates"
"2084","Spanish (Peruvian)","action_words","turn on","prender/encender","predicates"
"2085","Spanish (Argentinian)","action_words","turn on","prender","predicates"
"2086","Spanish (European)","animals","turtle","tortuga","nouns"
"2087","Spanish (Mexican)","animals","turtle","tortuga","nouns"
"2088","Spanish (Peruvian)","animals","turtle","tortuga","nouns"
"2089","Spanish (Argentinian)","animals","turtle","tortuga","nouns"
"2090","Spanish (European)","household","tv","televisión","nouns"
"2091","Spanish (Mexican)","furniture_rooms","tv","televisión","nouns"
"2092","Spanish (Peruvian)","household","tv","tele/televisión/televisor","nouns"
"2093","Spanish (Argentinian)","furniture_rooms","tv","televisión_tele","nouns"
"2094","Spanish (European)","sounds","tweet tweet","pío pío","other"
"2095","Spanish (Mexican)","sounds","tweet tweet","pío pío","other"
"2096","Spanish (Peruvian)","sounds","tweet tweet","pío-pío (pollito)","other"
"2097","Spanish (Argentinian)","sounds","tweet tweet","pío-pío","other"
"2098","Spanish (European)","articles","two","dos","function_words"
"2099","Spanish (Peruvian)","quantifiers","two","dos","function_words"
"2100","Spanish (European)","descriptive_words","ugly","feo","predicates"
"2101","Spanish (Mexican)","descriptive_words","ugly","feo","predicates"
"2102","Spanish (Peruvian)","descriptive_words","ugly","feo","predicates"
"2103","Spanish (Argentinian)","descriptive_words","ugly","feo","predicates"
"2104","Spanish (Peruvian)","sounds","uh oh","upa","other"
"2105","Spanish (Argentinian)","games_routines","uh oh","pumba","other"
"2106","Spanish (European)","people","uncle","tío","other"
"2107","Spanish (Mexican)","people","uncle","tío","other"
"2108","Spanish (Peruvian)","people","uncle","tío (a)","other"
"2109","Spanish (Argentinian)","people","uncle","tío","other"
"2110","Spanish (Mexican)","clothing","underpants","calzón","nouns"
"2111","Spanish (Argentinian)","clothing","underpants","bombacha","nouns"
"2112","Spanish (Argentinian)","clothing","underpants","calzoncillo","nouns"
"2113","Spanish (European)","locations","until","hasta","function_words"
"2114","Spanish (Peruvian)","locations","until","hasta","function_words"
"2115","Spanish (European)","locations","up","arriba","function_words"
"2116","Spanish (Mexican)","locations","up","arriba","function_words"
"2117","Spanish (Peruvian)","locations","up","arriba","function_words"
"2118","Spanish (Argentinian)","locations","up","arriba","function_words"
"2119","Spanish (Mexican)","body_parts","vagina","vagina","nouns"
"2120","Spanish (Argentinian)","body_parts","vagina","vagina","nouns"
"2121","Spanish (European)","action_words","value (action)","valer","predicates"
"2122","Spanish (Peruvian)","action_words","value (action)","costar/valer","predicates"
"2123","Spanish (Mexican)","food_drink","vanilla","vainilla","nouns"
"2124","Spanish (Argentinian)","food_drink","vanilla","vainilla","nouns"
"2125","Spanish (European)","household","video","vídeo","nouns"
"2126","Spanish (Peruvian)","household","video","video/DVD","nouns"
"2127","Spanish (European)","sounds","vroom","brumbrum (coche)","other"
"2128","Spanish (Peruvian)","sounds","vroom","brumbrum (carro)","other"
"2129","Spanish (Argentinian)","sounds","vroom","rum-rum","other"
"2130","Spanish (European)","games_routines","wait","espera","other"
"2131","Spanish (European)","action_words","wait","esperar(se)","predicates"
"2132","Spanish (Mexican)","action_words","wait","esperar(se)","predicates"
"2133","Spanish (Peruvian)","games_routines","wait","espera(te)/un ratito","other"
"2134","Spanish (Peruvian)","action_words","wait","esperar(se)","predicates"
"2135","Spanish (Argentinian)","action_words","wait","esperar","predicates"
"2136","Spanish (European)","action_words","wake","despertar(se)","predicates"
"2137","Spanish (Peruvian)","action_words","wake","despertar(se)","predicates"
"2138","Spanish (European)","action_words","walk","andar","predicates"
"2139","Spanish (European)","action_words","walk","pasear","predicates"
"2140","Spanish (Mexican)","action_words","walk","andar","predicates"
"2141","Spanish (Mexican)","action_words","walk","caminar","predicates"
"2142","Spanish (Peruvian)","action_words","walk","caminar/andar","predicates"
"2143","Spanish (Peruvian)","action_words","walk","pasear","predicates"
"2144","Spanish (Argentinian)","action_words","walk","andar","predicates"
"2145","Spanish (Argentinian)","action_words","walk","caminar","predicates"
"2146","Spanish (European)","action_words","want","querer","predicates"
"2147","Spanish (European)","states","want","querer (quiero comer)","function_words"
"2148","Spanish (Mexican)","action_words","want","querer","predicates"
"2149","Spanish (Peruvian)","action_words","want","querer","predicates"
"2150","Spanish (Peruvian)","helping_verbs","want","querer (quiero comer)","function_words"
"2151","Spanish (Argentinian)","action_words","want","querer","predicates"
"2152","Spanish (European)","action_words","wash","lavar(se)","predicates"
"2153","Spanish (Mexican)","action_words","wash","lavar(se)","predicates"
"2154","Spanish (Peruvian)","action_words","wash","lavar(se)","predicates"
"2155","Spanish (Argentinian)","action_words","wash","lavar_se","predicates"
"2156","Spanish (European)","household","washing machine","lavadora","nouns"
"2157","Spanish (Mexican)","furniture_rooms","washing machine","lavadora","nouns"
"2158","Spanish (Peruvian)","household","washing machine","lavadora","nouns"
"2159","Spanish (Argentinian)","furniture_rooms","washing machine","lavarropas","nouns"
"2160","Spanish (European)","action_words","watch (action)","ver","predicates"
"2161","Spanish (Mexican)","action_words","watch (action)","buscar","predicates"
"2162","Spanish (Mexican)","household","watch (object)","reloj","nouns"
"2163","Spanish (Peruvian)","household","watch (object)","reloj","nouns"
"2164","Spanish (Argentinian)","household","watch (object)","reloj","nouns"
"2165","Spanish (European)","food_drink","water (beverage)","agua","nouns"
"2166","Spanish (Mexican)","food_drink","water (beverage)","agua","nouns"
"2167","Spanish (Peruvian)","food_drink","water (beverage)","agua","nouns"
"2168","Spanish (Argentinian)","food_drink","water (beverage)","agua","nouns"
"2169","Spanish (European)","food_drink","watermelon","sandía","nouns"
"2170","Spanish (Mexican)","food_drink","watermelon","sandía","nouns"
"2171","Spanish (Peruvian)","food_drink","watermelon","sandía","nouns"
"2172","Spanish (Argentinian)","food_drink","watermelon","sandía","nouns"
"2173","Spanish (Mexican)","descriptive_words","wet (description)","mojado","predicates"
"2174","Spanish (Argentinian)","descriptive_words","wet (description)","mojado","predicates"
"2175","Spanish (European)","question_words","what","qué","function_words"
"2176","Spanish (Mexican)","question_words","what","qué (question_words)","function_words"
"2177","Spanish (Peruvian)","question_words","what","qué","function_words"
"2178","Spanish (Argentinian)","question_words","what","qué","function_words"
"2179","Spanish (European)","toys","wheel","rueda","nouns"
"2180","Spanish (Peruvian)","toys","wheel","rueda","nouns"
"2181","Spanish (European)","question_words","when (question)","cuándo","function_words"
"2182","Spanish (Mexican)","question_words","when (question)","cuándo","function_words"
"2183","Spanish (Peruvian)","question_words","when (question)","cuándo","function_words"
"2184","Spanish (Argentinian)","question_words","when (question)","cuándo","function_words"
"2185","Spanish (European)","question_words","where (question)","dónde","function_words"
"2186","Spanish (Mexican)","question_words","where (question)","dónde","function_words"
"2187","Spanish (Peruvian)","question_words","where (question)","dónde","function_words"
"2188","Spanish (Argentinian)","question_words","where (question)","dónde","function_words"
"2189","Spanish (European)","question_words","which (question)","cuál","function_words"
"2190","Spanish (Mexican)","question_words","which (question)","cuál","function_words"
"2191","Spanish (Argentinian)","question_words","which (question)","cuál","function_words"
"2192","Spanish (European)","descriptive_words","white","blanco","predicates"
"2193","Spanish (Mexican)","descriptive_words","white","blanco","predicates"
"2194","Spanish (Peruvian)","descriptive_words","white","blanco","predicates"
"2195","Spanish (Argentinian)","descriptive_words","white","blanco","predicates"
"2196","Spanish (European)","question_words","who","quién","function_words"
"2197","Spanish (Mexican)","question_words","who","quién","function_words"
"2198","Spanish (Argentinian)","question_words","who","quién","function_words"
"2199","Spanish (European)","games_routines","why","¿por qué?","other"
"2200","Spanish (European)","question_words","why","por qué","function_words"
"2201","Spanish (Mexican)","question_words","why","por qué","function_words"
"2202","Spanish (Peruvian)","question_words","why","por qué","function_words"
"2203","Spanish (Argentinian)","question_words","why","por_que","function_words"
"2204","Spanish (Mexican)","outside","wind","viento/aire","nouns"
"2205","Spanish (Argentinian)","outside","wind","viento_aire","nouns"
"2206","Spanish (Mexican)","furniture_rooms","window","ventana","nouns"
"2207","Spanish (Peruvian)","household","window","ventana","nouns"
"2208","Spanish (Argentinian)","furniture_rooms","window","ventana","nouns"
"2209","Spanish (European)","people","witch","bruja","other"
"2210","Spanish (Peruvian)","people","witch","bruja","other"
"2211","Spanish (European)","locations","with","con","function_words"
"2212","Spanish (Mexican)","prepositions","with","con","function_words"
"2213","Spanish (Peruvian)","locations","with","con","function_words"
"2214","Spanish (Argentinian)","quantifiers","with","con","function_words"
"2215","Spanish (European)","locations","without","sin","function_words"
"2216","Spanish (Peruvian)","locations","without","sin","function_words"
"2217","Spanish (European)","animals","wolf","lobo","nouns"
"2218","Spanish (Mexican)","animals","wolf","lobo","nouns"
"2219","Spanish (Peruvian)","animals","wolf","lobo","nouns"
"2220","Spanish (Argentinian)","animals","wolf","lobo","nouns"
"2221","Spanish (Mexican)","people","woman","señora","other"
"2222","Spanish (Argentinian)","people","woman","señora","other"
"2223","Spanish (European)","sounds","woof woof","gua-guáu","other"
"2224","Spanish (Mexican)","sounds","woof woof","guaguá","other"
"2225","Spanish (Peruvian)","sounds","woof woof","guau-guau (perro)","other"
"2226","Spanish (Argentinian)","sounds","woof woof","guau-guau/ba bau","other"
"2227","Spanish (European)","action_words","work (action)","trabajar","predicates"
"2228","Spanish (Peruvian)","action_words","work (action)","trabajar","predicates"
"2229","Spanish (European)","animals","worm","gusano","nouns"
"2230","Spanish (Peruvian)","animals","worm","gusano","nouns"
"2231","Spanish (European)","sounds","wow","aúpa","other"
"2232","Spanish (Peruvian)","sounds","wow","pucha/uuyy","other"
"2233","Spanish (European)","action_words","write","escribir","predicates"
"2234","Spanish (Mexican)","action_words","write","escribir","predicates"
"2235","Spanish (Peruvian)","action_words","write","escribir","predicates"
"2236","Spanish (Argentinian)","action_words","write","escribir","predicates"
"2237","Spanish (Mexican)","quantifiers","wrong","mal","function_words"
"2238","Spanish (Argentinian)","descriptive_words (adverbs)","wrong","mal","predicates"
"2239","Spanish (European)","outside_places","yard","jardín","other"
"2240","Spanish (Mexican)","places","yard","patio (places)","other"
"2241","Spanish (Peruvian)","outside","yard","jardín","nouns"
"2242","Spanish (European)","descriptive_words","yellow","amarillo","predicates"
"2243","Spanish (Mexican)","descriptive_words","yellow","amarillo","predicates"
"2244","Spanish (Peruvian)","descriptive_words","yellow","amarillo","predicates"
"2245","Spanish (Argentinian)","descriptive_words","yellow","amarillo","predicates"
"2246","Spanish (Mexican)","quantifiers","yes","sí","function_words"
"2247","Spanish (Peruvian)","games_routines","yes","sí","other"
"2248","Spanish (Argentinian)","descriptive_words (adverbs)","yes","sí_afirmación","predicates"
"2249","Spanish (Mexican)","time_words","yesterday","ayer","other"
"2250","Spanish (Argentinian)","time_words","yesterday","ayer","other"
"2251","Spanish (European)","food_drink","yogurt","yogur","nouns"
"2252","Spanish (Mexican)","food_drink","yogurt","yoghurt","nouns"
"2253","Spanish (Peruvian)","food_drink","yogurt","yogurt","nouns"
"2254","Spanish (Argentinian)","food_drink","yogurt","yogurt","nouns"
"2255","Spanish (Mexican)","descriptive_words","yucky","fuchi","predicates"
"2256","Spanish (Argentinian)","descriptive_words","yucky","asco_asqueroso","predicates"
"2257","Spanish (Mexican)","sounds","yum yum","¡am!","other"
"2258","Spanish (Argentinian)","sounds","yum yum","am","other"
"2259","Spanish (European)","animals","zebra","cebras","nouns"
"2260","Spanish (Mexican)","animals","zebra","cebra","nouns"
"2261","Spanish (Peruvian)","animals","zebra","cebra","nouns"
"2262","Spanish (Argentinian)","animals","zebra","cebra","nouns"
"2263","Spanish (European)","clothing","zipper","cremallera","nouns"
"2264","Spanish (Mexican)","clothing","zipper","cierre","nouns"
"2265","Spanish (Peruvian)","clothing","zipper","cierre","nouns"
"2266","Spanish (Argentinian)","clothing","zipper","cierre","nouns"
"2267","Spanish (European)","outside_places","zoo","zoo","other"
