,language,item_definition,uni_lemma,aoa,cleaned_item
457,Spanish (Argentinian),caliente,hot,23.5771546694421,caliente
458,Spanish (European),caliente,hot,24.4804956438335,caliente
459,Spanish (Mexican),caliente,hot,22.2034441647924,caliente
460,Spanish (Peruvian),caliente,hot,24.6154932417468,caliente
461,Spanish (Argentinian),cómo,how,30.568323555473,cómo
462,Spanish (European),cómo,how,30.8094755706255,cómo
463,Spanish (Mexican),cómo,how,34.0474869154073,cómo
464,Spanish (Peruvian),cómo,how,30.422726675144,cómo
465,Spanish (Argentinian),hambre,hungry,28.0061097859609,hambre
466,Spanish (European),hambre,hungry,27.0290687534539,hambre
467,Spanish (Mexican),hambre,hungry,27.5265443410063,hambre
468,Spanish (Peruvian),hambre,hungry,26.5280956881592,hambre
469,Spanish (Argentinian),jugo,juice,22.425543663699,jugo
470,Spanish (European),zumo,juice,21.7165601640382,zumo
471,Spanish (Mexican),jugo,juice,20.0301445933716,jugo
472,Spanish (Peruvian),jugo,juice,23.5307517759341,jugo
473,Spanish (Argentinian),llave,key,25.7209867366043,llave
474,Spanish (European),llaves,key,22.473988270168,llave
475,Spanish (Mexican),llave,key,24.0203175723172,llave
476,Spanish (Peruvian),llaves,key,25.7401978656863,llave
477,Spanish (Argentinian),cocina,kitchen,26.8780525351226,cocina
478,Spanish (European),cocina,kitchen,23.6940670770834,cocina
479,Spanish (Mexican),cocina,kitchen,26.3420909976042,cocina
480,Spanish (Peruvian),cocina,kitchen,26.9382265587914,cocina
481,Spanish (Argentinian),rodilla,knee,29.5414900584329,rodilla
482,Spanish (European),rodillas,knee,27.3504178058592,rodilla
483,Spanish (Mexican),rodilla,knee,29.6461648364586,rodilla
484,Spanish (Peruvian),rodilla(s),knee,28.0303469794197,rodilla
485,Spanish (Argentinian),cuchillo,knife,27.6944150293091,cuchillo
486,Spanish (European),cuchillo,knife,25.1183408310107,cuchillo
487,Spanish (Mexican),cuchillo,knife,26.9760631923461,cuchillo
488,Spanish (Peruvian),cuchillo,knife,29.0024704768119,cuchillo
489,Spanish (Argentinian),saber,know,32.4395980059306,saber
490,Spanish (European),saber (no sé),know,25.9012909882792,saber
491,Spanish (Mexican),saber,know,30.8608015759648,saber
492,Spanish (Peruvian),saber [no sé],know,29.0024550253268,saber
493,Spanish (Argentinian),piernas_patas,leg,27.5828325493713,piernas
494,Spanish (European),pierna/s (pata/s),leg,23.9448226093757,piernas
495,Spanish (Mexican),piernas,leg,26.7022231682898,piernas
496,Spanish (Peruvian),pierna(s)/pata(s),leg,27.5799856374057,piernas
497,Spanish (Argentinian),luz,light (object),23.2417230652909,luz
498,Spanish (European),luz,light (object),19.4676166207893,luz
499,Spanish (Mexican),luz,light (object),20.4988961875673,luz
500,Spanish (Peruvian),luz,light (object),21.7511416030631,luz
501,Spanish (Argentinian),gustar,like,28.684405330984,gustar
502,Spanish (European),gustar,like,24.9576708519328,gustar
503,Spanish (Mexican),gustar,like,29.5463640606698,gustar
504,Spanish (Peruvian),gustar,like,28.2631090761029,gustar
505,Spanish (Argentinian),leon,lion,25.0276469463733,leon
506,Spanish (European),león,lion,23.6002732298306,león
507,Spanish (Mexican),león,lion,26.690495585375,león
508,Spanish (Peruvian),león,lion,24.0697119302519,león
509,Spanish (Argentinian),labios,lip,30.7995899365189,labios
510,Spanish (European),labios,lip,26.9230809406354,labios
511,Spanish (Mexican),labios,lip,30.0181516800844,labios
512,Spanish (Peruvian),labio(s),lip,30.422331560008,labios
513,Spanish (Argentinian),carne,meat,25.0764356644352,carne
514,Spanish (European),carne (chicha),meat,20.8470911994206,carne
515,Spanish (Mexican),carne,meat,22.7977829459897,carne
516,Spanish (Peruvian),carne/bistec,meat,25.9337567981884,carne
517,Spanish (Argentinian),melón,melon,32.7553504037601,melón
518,Spanish (European),melón,melon,28.0956228899501,melón
519,Spanish (Mexican),melón,melon,30.9059442943574,melón
520,Spanish (Peruvian),melón,melon,33.844140468075,melón
521,Spanish (Argentinian),miau,meow,20.5539803519136,miau
522,Spanish (European),miau,meow,19.1844203355089,miau
523,Spanish (Mexican),miau,meow,15.250425375299,miau
524,Spanish (Peruvian),miau (gato),meow,17.1295486065142,miau
525,Spanish (Argentinian),leche,milk,20.7817683719607,leche
526,Spanish (European),leche,milk,21.0748816278154,leche
527,Spanish (Mexican),leche,milk,10.4528723190863,leche
528,Spanish (Peruvian),leche,milk,20.1201585524243,leche
529,Spanish (Argentinian),mamá_mami,mommy,12.9160915501654,mamá
530,Spanish (European),mamá (mami),mommy,9.28908447280735,mamá
532,Spanish (Peruvian),mamá/mami,mommy,7.94216989459127,mamá
533,Spanish (Argentinian),luna,moon,24.322498326478,luna
534,Spanish (European),luna,moon,21.6844698074832,luna
535,Spanish (Mexican),luna,moon,22.937921571339,luna
536,Spanish (Peruvian),luna,moon,24.4325775466793,luna
537,Spanish (Argentinian),más,more,22.111284858857,más
538,Spanish (European),más,more,22.4737120095102,más
539,Spanish (Mexican),más,more,15.7644751253931,más
540,Spanish (Peruvian),más,more,22.4628817364041,más
541,Spanish (Argentinian),moto,motorcycle,23.9371298865708,moto
542,Spanish (European),moto,motorcycle,20.5850953198677,moto
543,Spanish (Mexican),moto,motorcycle,24.499212787674,moto
544,Spanish (Peruvian),moto,motorcycle,25.9336307208236,moto
545,Spanish (Argentinian),rató/rata,mouse,28.7152225694988,rata
546,Spanish (European),ratón,mouse,25.7368185078443,ratón
547,Spanish (Mexican),ratón,mouse,28.3648159700084,ratón
548,Spanish (Peruvian),ratón/pericote,mouse,29.0022083699898,ratón
549,Spanish (Argentinian),bigote,mustache,32.9194005432591,bigote
550,Spanish (European),bigote,mustache,28.3681148914875,bigote
551,Spanish (Mexican),bigote,mustache,36.0680717257612,bigote
552,Spanish (Peruvian),bigote,mustache,31.8515467092143,bigote
553,Spanish (Argentinian),nuevo,new,32.3881906877196,nuevo
554,Spanish (European),nuevo,new,29.2766909849994,nuevo
555,Spanish (Mexican),nuevo,new,30.1426345530086,nuevo
556,Spanish (Peruvian),nuevo,new,31.4587606221131,nuevo
557,Spanish (Argentinian),nariz,nose,21.9175417104083,nariz
558,Spanish (European),nariz,nose,20.6182094929691,nariz
559,Spanish (Mexican),nariz,nose,20.6150965861218,nariz
560,Spanish (Peruvian),nariz,nose,21.5724714836803,nariz
561,Spanish (Argentinian),ahora,now,28.6850498192446,ahora
562,Spanish (European),ahora,now,26.7142211683855,ahora
563,Spanish (Mexican),ahorita/ahora,now,30.4909337001796,ahorita
564,Spanish (Peruvian),ahora/ahorita,now,30.1138274004032,ahora
565,Spanish (Argentinian),abrir,open (action),23.0500564862221,abrir
566,Spanish (European),abrir,open (action),20.5847468688206,abrir
567,Spanish (Mexican),abrir,open (action),21.6016811925119,abrir
568,Spanish (Peruvian),abrir,open (action),22.2852163420272,abrir
569,Spanish (Argentinian),o,or,30.7630618091367,o
570,Spanish (European),o,or,30.5503641726685,o
571,Spanish (Mexican),o,or,44.0465971161427,o
572,Spanish (Peruvian),o,or,30.4229247617441,o
573,Spanish (Argentinian),afuera,out,26.9849924693304,afuera
574,Spanish (European),fuera/afuera,out,26.5415560846203,afuera
575,Spanish (Mexican),afuera,out,27.5846545107794,afuera
576,Spanish (Peruvian),afuera/fuera,out,27.3620647318826,afuera
577,Spanish (Argentinian),pintar,paint (action),26.3041737900764,pintar
578,Spanish (European),pintar,paint (action),21.779861059586,pintar
579,Spanish (Mexican),pintar,paint (action),27.0854607506768,pintar
580,Spanish (Peruvian),pintar,paint (action),27.3619341416173,pintar
581,Spanish (Argentinian),pinturitas,painting,31.4125011870191,pinturitas
582,Spanish (European),pintura,painting,25.8354447566191,pintura
583,Spanish (Mexican),pinturas,painting,30.3859376970134,pinturas
584,Spanish (Peruvian),pintura,painting,31.8517916618604,pintura
585,Spanish (Argentinian),pijama,pajamas,28.9627232203689,pijama
586,Spanish (European),pijima,pajamas,23.8819540605346,pijama
587,Spanish (Mexican),pijama,pajamas,27.9135211287754,pijima
588,Spanish (Peruvian),piyama,pajamas,28.0300933274915,pijama
589,Spanish (Argentinian),pantalones,pants,24.929441410055,pantalones
590,Spanish (European),pantalón/es,pants,23.1000716032666,pantalones
591,Spanish (Mexican),pantalón,pants,24.1065750713086,pantalones
592,Spanish (Peruvian),pantalón(es),pants,24.4325300209872,pantalones
593,Spanish (Argentinian),plaza,park,24.5887525473777,plaza
594,Spanish (European),parque,park,22.1595659392637,parque
595,Spanish (Mexican),parque,park,27.9633331982031,parque
596,Spanish (Peruvian),parque,park,24.4325221313375,parque
597,Spanish (Argentinian),fiesta,party,31.2851565002828,fiesta
598,Spanish (European),fiesta,party,29.7686863718423,fiesta
599,Spanish (Mexican),fiesta,party,28.335749781532,fiesta
600,Spanish (Peruvian),fiesta,party,28.502570273507,fiesta
601,Spanish (Argentinian),fideos,pasta,25.3473863483311,fideos
602,Spanish (European),macarrones,pasta,26.1346865970135,macarrones
603,Spanish (Mexican),espagueti,pasta,31.3475865147166,espagueti
604,Spanish (Peruvian),tallarines/fideos/pasta,pasta,26.1293384932542,tallarines
605,Spanish (Argentinian),almohada,pillow,27.1995975686665,almohada
606,Spanish (European),almohada,pillow,27.3499773782278,almohada
607,Spanish (Mexican),almohada,pillow,26.7129778363117,almohada
608,Spanish (Peruvian),almohada,pillow,27.5800314549144,almohada
609,Spanish (Argentinian),planta,plant,27.9772653584734,planta
610,Spanish (European),planta,plant,28.0953146141655,planta
611,Spanish (Mexican),planta,plant,31.3731204252897,planta
612,Spanish (Peruvian),planta,plant,28.7488962197779,planta
613,Spanish (Argentinian),plato,plate,25.174777857255,plato
614,Spanish (European),plato,plate,23.0062994508645,plato
615,Spanish (Mexican),plato,plate,22.6253455829519,plato
616,Spanish (Peruvian),plato,plate,25.9336528678116,plato
617,Spanish (Argentinian),por_favor_porfi,please,27.0913751842768,por favor
618,Spanish (European),por favor,please,24.7026972612119,por favor
619,Spanish (Mexican),por favor,please,23.5663475527013,por favor
620,Spanish (Peruvian),por favor,please,24.4325974468881,por favor
621,Spanish (Argentinian),papas,potato,23.6251444764854,papas
622,Spanish (European),patata/s,potato,19.4318946532464,patatas
623,Spanish (Mexican),papas,potato,15.5189406068473,papas
624,Spanish (Peruvian),papa(s),potato,21.3933406069375,papas
625,Spanish (Argentinian),cuá-cuá,quack quack,21.7709391742425,cuá-cuá
626,Spanish (European),cua-cuá,quack quack,19.4995552804773,cuá-cuá
627,Spanish (Mexican),cuacuá,quack quack,24.5787000791399,cuá-cuá
628,Spanish (Peruvian),cua-cuá (pato),quack quack,17.9832869919009,cuá-cuá
629,Spanish (Argentinian),callar_se,quiet (action),30.8383142164947,callar(se)
630,Spanish (European),callar,quiet (action),25.3121295227398,callar
631,Spanish (Mexican),callar(se),quiet (action),31.0336238982053,callar(se)
632,Spanish (Peruvian),callar(se),quiet (action),28.5026542399707,callar(se)
633,Spanish (Argentinian),leer,read,29.9511094366369,leer
634,Spanish (European),leer,read,27.6058692106654,leer
635,Spanish (Mexican),leer,read,29.640062745433,leer
636,Spanish (Peruvian),leer,read,30.1136958062383,leer
637,Spanish (Argentinian),rojo,red,26.4847212477277,rojo
638,Spanish (European),rojo,red,24.1333343778275,rojo
639,Spanish (Mexican),rojo,red,27.4248548730851,rojo
640,Spanish (Peruvian),rojo,red,24.7993299379488,rojo
641,Spanish (Argentinian),heladera,refrigerator,27.5549982121525,heladera
642,Spanish (European),nevera/frigorífico,refrigerator,27.4587238034295,nevera
643,Spanish (Mexican),refrigerador,refrigerator,30.5176683640351,refrigerador
644,Spanish (Peruvian),refrigerador(a),refrigerator,31.0917514774143,refrigerador
645,Spanish (Argentinian),quitar_se,remove,31.9982796921268,quitar(se)
646,Spanish (European),quitar(se),remove,24.0392186997931,quitar(se)
647,Spanish (Mexican),quitar(se),remove,30.2297827962208,quitar(se)
648,Spanish (Peruvian),quitar(se),remove,28.5024027951698,quitar(se)
649,Spanish (Argentinian),arroz,rice,25.9221131049749,arroz
650,Spanish (European),arroz,rice,24.702435839335,arroz
651,Spanish (Mexican),arroz,rice,23.5429456186347,arroz
652,Spanish (Peruvian),arroz,rice,20.8526142701434,arroz
653,Spanish (Argentinian),habitación_pieza,room,28.7453775017705,habitación
654,Spanish (European),habitación/cuarto,room,25.5719282558161,habitación
655,Spanish (Mexican),cuarto,room,27.7951684319123,cuarto
656,Spanish (Peruvian),cuarto/dormitorio/habitación,room,26.3272635594386,cuarto
657,Spanish (Argentinian),correr,run,25.6453528208672,correr
658,Spanish (European),correr,run,24.0074571226547,correr
659,Spanish (Mexican),correr,run,26.075033402966,correr
660,Spanish (Peruvian),correr,run,26.128925999211,correr
661,Spanish (Argentinian),triste,sad,29.6420877719008,triste
662,Spanish (European),triste,sad,29.3202692967408,triste
663,Spanish (Mexican),triste,sad,30.4672349104361,triste
664,Spanish (Peruvian),triste,sad,29.2645495598689,triste
665,Spanish (Argentinian),escuela_cole,school,27.835178664759,escuela
666,Spanish (European),cole,school,22.7248471543378,cole
667,Spanish (Mexican),escuela,school,25.7167610905676,escuela
668,Spanish (Peruvian),cole/colegio/escuela,school,30.1138462160728,cole
669,Spanish (Argentinian),tijeras,scissors,30.1625992099044,tijeras
670,Spanish (European),tijeras,scissors,26.2692971495447,tijeras
671,Spanish (Mexican),tijeras,scissors,29.6631097876017,tijeras
672,Spanish (Peruvian),tijeras,scissors,29.5362258739294,tijeras
673,Spanish (Argentinian),enfermo,sick,31.1601806616855,enfermo
674,Spanish (European),enfermo/malito,sick,25.637318919375,enfermo
675,Spanish (Mexican),enfermo,sick,29.566794431509,enfermo
676,Spanish (Peruvian),enfermo,sick,28.5026402354534,enfermo
677,Spanish (Argentinian),tonto_bobo,silly,31.457472468526,tonto
678,Spanish (European),tonto/a,silly,20.6177551905128,tonto
679,Spanish (Mexican),tonto,silly,38.5184131774595,tonto
680,Spanish (Peruvian),tonto(a),silly,34.5188944704496,tonto
681,Spanish (Argentinian),cantar,sing,27.0381449421005,cantar
682,Spanish (European),cantar,sing,24.259244908276,cantar
683,Spanish (Mexican),cantar,sing,26.5631405445712,cantar
684,Spanish (Peruvian),cantar,sing,25.9335498098549,cantar
685,Spanish (Argentinian),sentar_se,sit,25.5960170205262,sentar(se)
686,Spanish (European),sentar(se),sit,23.2250733688502,sentar(se)
687,Spanish (Mexican),sentar(se),sit,28.0300579254323,sentar(se)
688,Spanish (Peruvian),sentar(se),sit,27.3620865474112,sentar(se)
689,Spanish (Argentinian),patines,skate (object),32.9759417259966,patines
690,Spanish (European),patines,skate (object),30.2460903743328,patines
691,Spanish (Mexican),patines,skate (object),36.5694204864209,patines
692,Spanish (Peruvian),skate/scooter,skate (object),30.7481945741722,scooter
693,Spanish (Argentinian),pollera,skirt,32.6473761073627,pollera
694,Spanish (European),falda,skirt,29.7233246594382,falda
695,Spanish (Mexican),falda,skirt,32.1077130628642,falda
696,Spanish (Peruvian),falda,skirt,30.7479025119265,falda
697,Spanish (Argentinian),cielo,sky,26.4335202128559,cielo
698,Spanish (European),cielo,sky,26.0677693991985,cielo
699,Spanish (Mexican),cielo,sky,27.4654086464783,cielo
700,Spanish (Peruvian),cielo,sky,27.5799056202516,cielo
701,Spanish (Argentinian),víbora,snake,32.1412123288433,víbora
702,Spanish (European),serpiente,snake,27.5328119218487,serpiente
703,Spanish (Mexican),víbora,snake,33.981385569478,víbora
704,Spanish (Peruvian),serpiente,snake,28.5024306819317,serpiente
705,Spanish (Argentinian),nieve,snow,33.0317077712357,nieve
706,Spanish (European),nieve,snow,27.3147920854695,nieve
707,Spanish (Mexican),nieve,snow,37.1369961235686,nieve
708,Spanish (Peruvian),nieve,snow,33.2600271611319,nieve
709,Spanish (Argentinian),jabón,soap,25.0518592408758,jabón
710,Spanish (European),jabón,soap,23.2563223770812,jabón
711,Spanish (Mexican),jabón,soap,21.9292582409764,jabón
712,Spanish (Peruvian),jabón,soap,24.2507208672551,jabón
713,Spanish (Argentinian),sopa,soup,27.7507440432954,sopa
714,Spanish (European),sopa,soup,23.5063702859278,sopa
715,Spanish (Mexican),sopa,soup,15.8828453834792,sopa
716,Spanish (Peruvian),sopa,soup,24.7994496429427,sopa
717,Spanish (Argentinian),araña,spider,27.1454312651071,araña
718,Spanish (European),araña,spider,27.9055932499935,araña
719,Spanish (Mexican),araña,spider,25.0283518121128,araña
720,Spanish (Peruvian),araña,spider,25.5485984234025,araña
721,Spanish (Argentinian),cuchara,spoon,24.0332051391781,cuchara
722,Spanish (European),cuchara,spoon,21.7800354767303,cuchara
723,Spanish (Mexican),cuchara,spoon,23.3419937759544,cuchara
724,Spanish (Peruvian),cuchara,spoon,25.1711146028488,cuchara
725,Spanish (Argentinian),estrella,star,26.5893658862124,estrella
726,Spanish (European),estrella,star,25.0862864099716,estrella
727,Spanish (Mexican),estrella,star,27.1282166997442,estrella
728,Spanish (Peruvian),estrella(s),star,25.9334766315682,estrella
729,Spanish (Argentinian),palo,stick,27.3630404615833,palo
730,Spanish (European),palo,stick,24.79822439391,palo
731,Spanish (Mexican),palo,stick,26.7003009002879,palo
732,Spanish (Peruvian),palo,stick,28.0303215199261,palo
733,Spanish (Argentinian),frutilla,strawberry,28.7152577368753,frutilla
734,Spanish (European),fresa/s,strawberry,26.6109473713146,fresa
735,Spanish (Mexican),fresa,strawberry,28.2827960244382,fresa
736,Spanish (Peruvian),fresa(s),strawberry,29.2645333945899,fresa
737,Spanish (Argentinian),calle,street,26.5895863477657,calle
738,Spanish (European),calle,street,20.4194069522372,calle
739,Spanish (Mexican),calle,street,21.3056982971274,calle
740,Spanish (Peruvian),calle,street,22.462883226446,calle
741,Spanish (Argentinian),azucar,sugar,28.3545491987331,azúcar
742,Spanish (European),azúcar,sugar,25.9681763497109,azúcar
743,Spanish (Mexican),azúcar,sugar,27.4209302477115,azúcar
744,Spanish (Peruvian),azúcar,sugar,28.0301945828181,azúcar
745,Spanish (Argentinian),sol,sun,22.5219028385358,sol
746,Spanish (European),sol,sun,21.1397999122111,sol
747,Spanish (Mexican),sol,sun,22.6523293415264,sol
748,Spanish (Peruvian),sol,sun,23.7097859837988,sol
749,Spanish (Argentinian),hamaca,swing (object),26.7465148021133,hamaca
750,Spanish (European),columpio,swing (object),24.1332824117553,columpio
751,Spanish (Mexican),columpio,swing (object),29.3830102149192,columpio
752,Spanish (Peruvian),columpio,swing (object),30.1141291369395,columpio
753,Spanish (Argentinian),mesa,table,24.2017328124471,mesa
754,Spanish (European),mesa,table,22.756126782475,mesa
755,Spanish (Mexican),mesa,table,21.9024672066625,mesa
756,Spanish (Peruvian),mesa,table,24.9844485793118,mesa
757,Spanish (Argentinian),osito,teddybear,25.7969701069175,osito
758,Spanish (European),osito,teddybear,22.1279476268248,osito
759,Spanish (Mexican),osito,teddybear,24.3953762946106,osito
760,Spanish (Peruvian),osito,teddybear,24.7994159251738,osito
761,Spanish (Argentinian),gracias,thank you,21.0321719897567,gracias
762,Spanish (European),gracias,thank you,20.5846794081434,gracias
763,Spanish (Mexican),gracias,thank you,15.9948104999363,gracias
764,Spanish (Peruvian),gracias,thank you,17.9833897089906,gracias
765,Spanish (Argentinian),tigre,tiger,29.3125233906325,tigre
766,Spanish (European),tigre,tiger,26.270007943387,tigre
767,Spanish (Mexican),tigre,tiger,31.0945792600796,tigre
768,Spanish (Peruvian),tigre,tiger,27.8025731851936,tigre
769,Spanish (Argentinian),lengua,tongue,24.758791591583,lengua
770,Spanish (European),lengua,tongue,24.0703760026766,lengua
771,Spanish (Mexican),lengua,tongue,23.5725040880646,lengua
772,Spanish (Peruvian),lengua,tongue,25.740053059667,lengua
773,Spanish (Argentinian),dientes,tooth,24.418928594858,dientes
774,Spanish (European),dientes,tooth,22.0965951471799,dientes
775,Spanish (Mexican),dientes,tooth,22.2373796272101,dientes
776,Spanish (Peruvian),diente(s),tooth,23.8894744645228,dientes
777,Spanish (Argentinian),Juguete_chiche,toy (object),24.4918181861232,juguete
778,Spanish (European),juguete,toy (object),23.662759642776,juguete
779,Spanish (Mexican),juguete,toy (object),24.66748053892,juguete
780,Spanish (Peruvian),juguete,toy (object),24.9845571819346,juguete
781,Spanish (Argentinian),tractor,tractor,29.744624637593,tractor
782,Spanish (European),tractor,tractor,26.236839709515,tractor
783,Spanish (Mexican),tractor,tractor,32.401466586825,tractor
784,Spanish (Peruvian),tractor,tractor,31.092124474627,tractor
785,Spanish (Argentinian),tren,train,23.6491002860826,tren
786,Spanish (European),tren,train,21.5571904158605,tren
787,Spanish (Mexican),tren,train,22.5216452743266,tren
788,Spanish (Peruvian),tren,train,25.1710022442621,tren
789,Spanish (Argentinian),árbol,tree,23.8650716581667,árbol
790,Spanish (European),árbol,tree,22.6307518358653,árbol
791,Spanish (Mexican),árbol,tree,24.4220882306949,árbol
792,Spanish (Peruvian),árbol,tree,24.9844485781988,árbol
793,Spanish (Argentinian),camión,truck,24.9783759287726,camión
794,Spanish (European),camión,truck,22.7247403718202,camión
795,Spanish (Mexican),camión/troca,truck,30.0475236018722,camión
796,Spanish (Peruvian),camión,truck,28.7484555833649,camión
797,Spanish (Argentinian),panza,tummy,23.0979790979017,panza
798,Spanish (European),barriga,tummy,25.5076624114922,barriga
799,Spanish (Mexican),panza,tummy,22.6984206360999,panza
800,Spanish (Peruvian),barriga/panza,tummy,24.069657440391,barriga
801,Spanish (Argentinian),apagar,turn off,26.6937566867275,apagar
802,Spanish (European),apagar,turn off,24.7979287021251,apagar
803,Spanish (Mexican),apagar,turn off,26.1955437733357,apagar
804,Spanish (Peruvian),apagar,turn off,26.1291116620326,apagar
805,Spanish (Argentinian),tortuga,turtle,27.6945377528328,tortuga
806,Spanish (European),tortuga,turtle,25.1508900424205,tortuga
807,Spanish (Mexican),tortuga,turtle,28.8988903054118,tortuga
808,Spanish (Peruvian),tortuga,turtle,26.5278748924584,tortuga
809,Spanish (Argentinian),televisión_tele,tv,23.0739814137051,televisión
810,Spanish (European),televisión,tv,23.1625677152491,televisión
811,Spanish (Mexican),televisión,tv,22.53611873267,televisión
812,Spanish (Peruvian),tele/televisión/televisor,tv,24.2507824274667,tele
813,Spanish (Argentinian),pío-pío,tweet tweet,23.0260313514451,pío-pío
814,Spanish (European),pío pío,tweet tweet,20.9114054521103,pío-pío
815,Spanish (Mexican),pío pío,tweet tweet,20.7525718956004,pío-pío
816,Spanish (Peruvian),pío-pío (pollito),tweet tweet,18.7883435131448,pío-pío
817,Spanish (Argentinian),feo,ugly,27.2273477502281,feo
818,Spanish (European),feo,ugly,24.2278459482171,feo
819,Spanish (Mexican),feo,ugly,27.617152920597,feo
820,Spanish (Peruvian),feo,ugly,27.5800658784045,feo
821,Spanish (Argentinian),tío,uncle,22.4013692662086,tío
822,Spanish (European),tío,uncle,20.7490401960181,tío
823,Spanish (Mexican),tío,uncle,20.0977793788004,tío
824,Spanish (Peruvian),tío (a),uncle,22.4628828211545,tío
825,Spanish (Argentinian),arriba,up,26.7199241768587,arriba
826,Spanish (European),arriba,up,23.5376512477052,arriba
827,Spanish (Mexican),arriba,up,25.555263681404,arriba
828,Spanish (Peruvian),arriba,up,26.7316487220451,arriba
829,Spanish (Argentinian),lavar_se,wash,26.6936354120615,lavar(se)
830,Spanish (European),lavar(se),wash,24.1018761638988,lavar(se)
831,Spanish (Mexican),lavar(se),wash,28.0551425931034,lavar(se)
832,Spanish (Peruvian),lavar(se),wash,28.2633216428013,lavar(se)
833,Spanish (Argentinian),lavarropas,washing machine,30.0560023560213,lavarropas
834,Spanish (European),lavadora,washing machine,26.5076079770988,lavadora
835,Spanish (Mexican),lavadora,washing machine,34.3633431949843,lavadora
836,Spanish (Peruvian),lavadora,washing machine,31.8517181513851,lavadora
837,Spanish (Argentinian),agua,water (beverage),13.6857896498445,agua
838,Spanish (European),agua,water (beverage),12.4479022977795,agua
839,Spanish (Mexican),agua,water (beverage),12.3554920271128,agua
840,Spanish (Peruvian),agua,water (beverage),12.9167834261912,agua
841,Spanish (Argentinian),sandía,watermelon,32.8649542318137,sandía
842,Spanish (European),sandía,watermelon,30.2962553404048,sandía
843,Spanish (Mexican),sandía,watermelon,32.6325410088379,sandía
844,Spanish (Peruvian),sandía,watermelon,29.8190384053798,sandía
845,Spanish (Argentinian),qué,what,25.1504266769111,qué
846,Spanish (European),qué,what,23.8507791006298,qué
847,Spanish (Mexican),qué (question_words),what,25.7719390651974,qué
848,Spanish (Peruvian),qué,what,25.3591075016049,qué
849,Spanish (Argentinian),cuándo,when (question),33.3867177925169,cuándo
850,Spanish (European),cuándo,when (question),31.5467218372199,cuándo
851,Spanish (Mexican),cuándo,when (question),32.6682312500375,cuándo
852,Spanish (Peruvian),cuándo,when (question),32.743418782591,cuándo
853,Spanish (Argentinian),dónde,where (question),27.2268042390189,dónde
854,Spanish (European),dónde,where (question),27.0995037538843,dónde
855,Spanish (Mexican),dónde,where (question),29.8000185264364,dónde
856,Spanish (Peruvian),dónde,where (question),27.3621083963676,dónde
857,Spanish (Argentinian),blanco,white,28.3837784195628,blanco
858,Spanish (European),blanco,white,26.0343090350223,blanco
859,Spanish (Mexican),blanco,white,29.1460939991574,blanco
860,Spanish (Peruvian),blanco,white,27.3621850148063,blanco
861,Spanish (Argentinian),con,with,28.9619879930192,con
862,Spanish (European),con,with,29.631213917039,con
863,Spanish (Mexican),con,with,29.2936342352847,con
864,Spanish (Peruvian),con,with,29.819128054244,con
865,Spanish (Argentinian),lobo,wolf,28.9003294275566,lobo
866,Spanish (European),lobo,wolf,25.4748974799216,lobo
867,Spanish (Mexican),lobo,wolf,34.199033847979,lobo
868,Spanish (Peruvian),lobo,wolf,27.3621411969113,lobo
869,Spanish (Argentinian),guau-guau/ba bau,woof woof,16.8678388630027,guau-guau
870,Spanish (European),gua-guáu,woof woof,14.9642599055962,guau-guau
871,Spanish (Mexican),guaguá,woof woof,40.5934289569999,guau-guau
872,Spanish (Peruvian),guau-guau (perro),woof woof,13.2953481057212,guau-guau
873,Spanish (Argentinian),escribir,write,30.3075360151908,escribir
874,Spanish (European),escribir,write,27.4230596809888,escribir
875,Spanish (Mexican),escribir,write,31.1243984272735,escribir
876,Spanish (Peruvian),escribir,write,31.0916199826125,escribir
877,Spanish (Argentinian),amarillo,yellow,26.7984074925569,amarillo
878,Spanish (European),amarillo,yellow,24.6070552613545,amarillo
879,Spanish (Mexican),amarillo,yellow,27.9880271069837,amarillo
880,Spanish (Peruvian),amarillo,yellow,26.7315923080243,amarillo
881,Spanish (Argentinian),yogurt,yogurt,23.8170748273172,yogurt
882,Spanish (European),yogur,yogurt,20.0511373773068,yogurt
883,Spanish (Mexican),yoghurt,yogurt,25.7572077887918,yogurt
884,Spanish (Peruvian),yogurt,yogurt,22.6405123898209,yogurt
885,Spanish (Argentinian),cebra,zebra,31.6765464785356,cebra
886,Spanish (European),cebras,zebra,29.7701438062495,cebra
887,Spanish (Mexican),cebra,zebra,30.7825728014319,cebra
888,Spanish (Peruvian),cebra,zebra,29.5364812239976,cebra
889,Spanish (Argentinian),cierre,zipper,33.1478291358383,cierre
890,Spanish (European),cremallera,zipper,29.8150394657068,cremallera
891,Spanish (Mexican),cierre,zipper,37.4389248834518,cierre
892,Spanish (Peruvian),cierre,zipper,32.7428944424787,cierre
893,Spanish (Argentinian),zoológico,zoo,34.4059504762271,zoológico
894,Spanish (European),zoo,zoo,29.7229367504076,zoo
895,Spanish (Mexican),zoológico,zoo,32.1443692163738,zoológico
896,Spanish (Peruvian),zoológico,zoo,34.5187922738783,zoológico
